acc,choice,len_go_tsteps,len_ss_tsteps,rt,tparams,trial,trial_type
1,go,1549,0,0.501769587712619,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",25,go
1,go,1132,0,0.4601534708600467,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",26,go
1,go,1354,0,0.48236521213732686,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",27,go
1,go,1405,0,0.48746529390171456,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",28,go
1,go,1860,0,0.5329856567642721,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",29,go
1,go,1621,0,0.5090397367813801,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",30,go
1,go,1069,0,0.45384056105830206,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",31,go
1,go,1307,0,0.4776897467544048,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",32,go
1,go,1911,0,0.5380585278126035,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",33,go
1,go,2047,0,0.5516670382616523,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",34,go
