acc,choice,len_go_tsteps,len_ss_tsteps,rt,tparams,trial,trial_type
0,go,1789,270,0.5259001581826829,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",24,stop
1,stop,2531,1011,0.6000641052058207,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",25,stop
0,go,2073,554,0.5543120431389372,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",26,stop
1,stop,2531,1011,0.6000846138895283,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",27,stop
1,stop,2485,966,0.5955303293890846,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",28,stop
1,stop,2459,940,0.5929113762701783,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",29,stop
1,stop,2531,1011,0.6000652337100068,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",30,stop
1,stop,2530,1011,0.6000352825698358,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",31,stop
1,stop,2455,936,0.5925056830029952,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",32,stop
1,stop,2365,846,0.5834956910387727,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",33,stop
1,stop,2531,1011,0.6000540829210513,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",34,stop
1,stop,2347,827,0.58165348245864,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",35,stop
1,stop,2265,746,0.5735340761900045,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",36,stop
1,stop,2465,946,0.5934961510189357,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",37,stop
1,stop,1981,462,0.5451195323924051,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",38,stop
1,stop,2530,1011,0.6000251240351105,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",39,stop
1,stop,2471,952,0.5941286090707155,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",40,stop
1,stop,2433,914,0.5903423582981818,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",41,stop
1,stop,2517,997,0.5986694638908618,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",42,stop
1,stop,2343,824,0.5812976035543754,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",43,stop
1,stop,2387,868,0.5856832361562465,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",44,stop
1,stop,2317,797,0.5786565171115092,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",45,stop
1,stop,2413,893,0.5882668763292093,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",46,stop
1,stop,2530,1011,0.6000255877724587,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",47,stop
1,stop,2219,700,0.5689411462544036,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",48,stop
1,stop,2317,798,0.5786718045043936,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",49,stop
1,stop,2531,1011,0.6000707235100748,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",50,stop
0,go,2273,754,0.5743416993155371,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",51,stop
